source_id,niveau,montant,unite,ordre,cible,flag_chiffre_independant_des_benefs,exception,cible_si_independant,flag_optionel,min,max,flag_cible_multiple,flag_delegation
318052,1,10,%,3,conseil d’administration,0,,,0,,,0,0
318052,1,10,%,4,fonds de réserve spécial,0,,,0,,à un fonds de réserve spécial ou d’amortissement jusqu’à concurrence du quart du capital,0,0
318052,2,50,%,5,actions,0,,,0,,,0,0
318052,2,50,%,6,parts,0,,,0,,,0,0
318069,1,5,%,1,fonds de réserve,0,,,0,,,0,0
318069,1,6,%,2,intérêt aux actions,1,,,0,,,0,0
318069,2,15,%,3,conseil d’administration,0,,,0,,,0,0
318069,2,666,%,4,toutes les actions sans distinction,0,,,0,,,0,0
318069,2,324,%,5,parts de fondateur,0,,,0,,,0,0
318085,1,5,%,1,réserve légale,0,,,0,,,0,0
318085,1,5,%,2,actions de priorité,1,,,0,,,0,0
318085,1,5,%,3,intérêt aux actions,1,,,0,,,0,0
318102,1,5,%,1,réserve,0,,,0,,,0,0
318102,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
318102,2,10,%,3,conseil d’administration,0,,,0,,,0,0
318102,3,65,%,4,actions,0,,,0,,,0,0
318102,3,35,%,5,parts bénéficiaires,0,,,0,,,0,0
318120,1,5,%,1,réserve légale,0,,,0,,,0,0
318120,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
318120,2,10,%,3,conseil d’administration,0,,,0,,,0,0
318120,2,15,%,4,parts de fondateur,0,,,0,,,0,0
318120,2,75,%,5,actions,0,,,0,,,0,0
318135,1,5,%,1,réserve légale,0,,,0,,,0,0
318135,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
318135,1,5,%,3,fonds d’amortissement,0,sauf la portion mise en réserve ou reportée à nouveau,True,0,,,0,0
318151,1,5,%,1,réserve légale,0,,,0,,,0,0
318151,1,6,%,2,intérêt aux actions,1,,,0,,,0,0
318151,2,15,%,3,conseil d’administration,0,,,0,,,0,0
318151,3,25,%,4,parts de fondateur,0,,,0,,,0,0
318151,3,75,%,5,actions,0,,,0,,,0,0
318167,1,5,%,1,réserve légale,0,,,0,,,0,0
318167,1,5,%,2,intérêt aux actions,0,et sauf prélèvement facultatif d’une somme égale à  au maximum des bénéfices nets en faveur d’une réserve de prévoyance,True,1,,et sauf prélèvement facultatif d’une somme égale à  au maximum des bénéfices nets en faveur d’une réserve de prévoyance,0,0
318167,2,5,%,4,administrateurs,0,,,0,,,0,0
318167,2,45,%,5,parts de fondateur,0,,,0,,,0,0
318167,2,50,%,6,actions,0,,,0,,,0,0
318184,1,5,%,1,réserve légale,0,,,0,,,0,0
318184,1,4,%,2,intérêt aux actions,1,,,0,,,0,0
318184,2,1/2,%,3,chaque administrateur,0,,,0,,,1,0
318184,2,1,%,4,président,0,,,0,,,0,0
318184,3,75,%,5,actions,0,,,0,,,0,0
318184,3,25,%,6,parts bénéficiaires,0,,,0,,,0,0
318199,1,5,%,1,réserve,0,,,0,,,0,0
318199,1,5,%,2,fonds d’amortissement,0,,,0,,,0,0
318199,1,2,%,3,fonds d’assurances,0,,,0,,,0,0
318199,1,5,%,4,conseil d’administration,0,,,0,,,0,0
318199,1,80,%,5,actions,0,,,0,,,0,0
318216,1,5,%,1,réserve légale,0,,,0,,,0,0
318216,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
318216,1,15,%,3,conseil d’administration,0,,,0,,,0,0
318230,1,10,%,1,fonds de prévoyance,0,,,0,,au fonds de prévoyance jusqu’à ce qu’il atteigne 1 million,0,0
318230,3,5,%,2,réserve légale,0,,,0,,,0,0
318230,3,5,%,3,intérêt aux actions,1,,,0,,,0,0
318230,4,20,%,4,parts bénéficiaires,0,,,0,,,0,0
318230,4,70,%,5,actions,0,,,0,,,0,0
318230,4,10,%,6,conseil d’administration,0,,,0,,,0,0
318247,1,5,%,1,réserve légale,0,,,0,,,0,0
318247,1,5,%,2,actions de priorité,1,,,0,,,0,0
318247,2,5,%,3,actions ordinaires,0,,,0,,,0,0
318247,3,25,%,4,parts,0,,,0,,,0,0
318247,3,75,%,5,actions,0,,,0,,,0,0
318265,1,5,%,1,réserve légale,0,,,0,,,0,0
318265,1,3,%,2,intérêt aux actions,1,,,0,,,0,0
318265,2,10,%,3,directeur,0,,,0,,,0,0
318265,2,10,%,4,conseil d’administration,0,,,0,,,0,0
318265,2,80,%,5,actions,0,,,0,,,0,0
318278,1,5,%,1,réserve légale,0,,,0,,,0,0
318278,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
318278,2,85,%,3,actions,0,,,0,,,0,0
318278,2,10,%,4,conseil d’administration,0,,,0,,,0,0
318278,2,5,%,5,direction,0,,,0,,,0,0
318296,1,5,%,1,réserve légale,0,,,0,,,0,0
318296,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
318296,2,10,%,3,conseil d’administration,0,,,0,,,0,0
318296,2,45,%,4,actions,0,,,0,,,0,0
318296,2,45,%,5,parts de fondateur,0,,,0,,,0,0
318341,2,5,%,1,réserve légale,0,,,0,,,0,0
318341,2,5,%,2,intérêt aux actions,1,,,0,,,0,0
318341,3,90,%,3,actions,0,,,0,,,0,0
318341,3,10,%,4,administrateurs,0,,,0,,,0,0
318368,1,5,%,1,intérêt aux actions,1,,,0,,,0,0
318368,1,5,%,2,fonds de réserve,0,,,0,,,0,0
318368,2,15,%,3,Gouvernement égyptien,0,,,0,,,0,0
318368,2,10,%,4,fondateur,0,,,0,,,0,0
318368,2,2,%,5,administrateurs,0,,,0,,,0,0
318368,2,2,%,6,fonds de retraites,0,,,0,,,0,0
318368,2,71,%,7,actions,0,,,0,,,0,0
318438,1,6,%,1,intérêt aux actions privilégiées,1,,,0,,,0,0
318438,1,6,%,2,intérêt aux actions,1,,,0,,,0,0
318451,1,5,%,1,réserve légale,0,,,0,,,0,0
318451,1,5,%,2,intérêt aux actions,1,,,0,,,0,0
318451,2,10,%,3,conseil d’administration,0,,,0,,,0,0
318451,2,5,%,4,personnel,0,,,0,,,0,0
318451,2,85,%,5,actions,0,,,0,,,0,0
318469,1,5,%,1,réserve légale,0,,,0,,,0,0
318469,1,6,%,2,intérêt cumulatif aux actions de priorité,1,,,0,,,0,0
318469,1,6,%,3,intérêt aux actions,1,,,0,,,0,0
318469,2,2,%,4,conseil d’administration,0,,,0,,,0,0
318469,3,25,%,5,actions de priorité,0,,,0,,,0,0
318469,3,50,%,6,actions ordinaires,0,,,0,,,0,0
318469,3,25,%,7,parts de fondateur,0,,,0,,,0,0
318486,1,6,%,1,intérêt aux actions,1,,,0,,,0,0
318486,2,5,%,2,réserve légale,0,,,0,,,0,0
318486,2,10,%,3,conseil d’administration,0,,,0,,,0,0
318486,2,85,%,4,actions,0,,,0,,,0,0
318503,1,5,%,1,réserve légale,0,,,0,,,0,0
318503,2,10,%,2,conseil d’administration,0,,,0,,,0,0
